"","XLE","XLY","XLK","XLF","XLU","XLB","XLP","XLI","XLV"
"Daily 95% CoVaR",-0.0143788023477004,-0.0243277764119122,-0.0246898032135147,-0.0161917983318232,-0.0214561377682583,-0.0213606514803759,-0.032674566505894,-0.0251333239430072,-0.0291030878890882
"Daily 99% CoVaR",-0.0263029228278427,-0.0442230551586464,-0.0448141937137362,-0.0296232951713507,-0.0390616906736138,-0.0389009880542197,-0.0593001214241289,-0.0456967556093837,-0.0528241829167529
"Daily 95% Delta CoVaR",-0.0149036902602082,-0.0248666618704185,-0.0251530235030969,-0.0167877261019502,-0.0220047849900621,-0.021923272562678,-0.0332786828318596,-0.0257017711916792,-0.0296484636761286
"Daily 99% Delta CoVaR",-0.0268278107403504,-0.0447619406171526,-0.0452774140033184,-0.0302192229414777,-0.0396103378954175,-0.0394636091365219,-0.0599042377500945,-0.0462652028580556,-0.0533695587037933
"Weekly 95% CoVaR",-0.0270033335190313,-0.0478811136014383,-0.0518153130677659,-0.0330507600570991,-0.0414331932347677,-0.0417427004055694,-0.0668975481916256,-0.0491423923657655,-0.0570894194088387
"Weekly 99% CoVaR",-0.0549321015514627,-0.0956277132474056,-0.102983551831826,-0.0671025127235412,-0.083102862668032,-0.0837862967040211,-0.13293306924369,-0.0982002892445938,-0.11355802391265
"Weekly 95% Delta CoVaR",-0.0296217538180749,-0.0506409025532625,-0.0542699545577315,-0.0361159014743521,-0.0441956010447505,-0.0445921946049707,-0.0700384616171077,-0.052031687988876,-0.0598916178157155
"Weekly 99% Delta CoVaR",-0.0575505218505063,-0.0983875021992298,-0.105438193321792,-0.0701676541407943,-0.0858652704780147,-0.0866357909034224,-0.136073982669172,-0.101089584867704,-0.116360222319527
"Monthly 95% CoVaR",-0.0447016159833167,-0.0913286528281033,-0.102441729089657,-0.0658409163849343,-0.0771916780913155,-0.0829343373151478,-0.138847411581496,-0.0917490077624571,-0.117244255631635
"Monthly 99% CoVaR",-0.0935569109008547,-0.181697057066992,-0.201556795577012,-0.135427040026618,-0.155290465560783,-0.166539729501186,-0.272885057174393,-0.182991831743392,-0.230914590323569
"Monthly 95% Delta CoVaR",-0.0547531060078017,-0.101277677791103,-0.11108023708612,-0.0779865603279243,-0.0875268729134508,-0.0936982349387623,-0.150218669861095,-0.102257657482402,-0.127392617234934
"Monthly 99% Delta CoVaR",-0.10360840092534,-0.191646082029992,-0.210195303573475,-0.147572683969608,-0.165625660382918,-0.177303627124801,-0.284256315453992,-0.193500481463337,-0.241062951926868
