"","SPY.Price","XLE.Price","XLY.Price","XLK.Price","XLF.Price","XLU.Price","XLB.Price","XLP.Price","XLI.Price","XLV.Price"
"1",90.987625,32.523407,26.348869,16.82349,18.452677,17.564281,21.161564,14.995958,22.529707,23.952576
"2",91.418518,32.615978,26.372824,17.020855,18.435493,17.591721,21.291594,15.047133,22.586697,24.191294
"3",91.475975,32.202511,26.396778,17.099808,18.498526,17.476456,21.257374,14.97037,22.551086,24.131607
"4",92.237198,32.992432,26.612368,17.36821,18.607407,17.663071,21.483221,15.034347,22.636557,24.288261
"5",92.474182,32.955418,26.883829,17.423477,18.658983,17.553297,21.476379,15.104714,22.821762,24.400146
"6",92.567535,33.313351,26.891821,17.40769,18.676172,17.580742,21.339504,15.066324,22.75765,24.310638
"7",92.862007,33.455292,27.027554,17.573473,18.779327,17.553297,21.175241,15.079127,22.771896,24.250961
"8",92.495743,33.214596,26.788021,17.478735,18.647524,17.553297,20.880959,15.04074,22.600952,24.228579
"9",92.409554,33.609585,26.796005,17.470848,18.636065,17.674053,20.928869,15.021551,22.522587,24.213661
"10",92.158195,34.350155,26.652277,17.297169,18.441217,17.860676,20.949402,14.963973,22.408619,24.146526
"11",91.791946,34.066246,26.564455,17.091902,18.389645,17.899094,20.744078,15.027947,22.437115,24.183819
"12",92.143814,34.658726,26.764061,17.241899,18.332333,18.058277,20.963083,15.04074,22.543962,24.310638
"13",90.463387,34.813011,26.308947,16.79191,17.948385,17.953978,20.607204,14.823219,22.052479,23.848152
"14",90.786598,35.195637,26.292976,16.728748,17.99423,17.926538,20.8878,14.83602,22.066738,23.833229
"15",90.879921,34.985802,26.556467,16.784016,18.074461,18.085716,21.120497,14.887197,22.230556,23.721327
"16",90.958923,34.251408,26.460646,16.839277,18.108843,17.83872,21.223156,14.9,22.223434,23.691496
"17",91.461639,34.362484,26.572432,16.949795,18.418303,17.679548,21.476379,14.931978,22.472733,23.810852
"18",92.30899,34.961128,26.692207,17.13928,18.435493,17.778343,21.626957,15.053536,22.522587,24.086849
"19",92.237198,35.763409,26.628323,17.19453,18.378187,17.657591,21.688538,14.995958,22.572454,23.974955
"20",91.562119,35.584438,26.532515,17.052429,18.309418,17.646606,21.722769,14.925582,22.444248,23.967493
"21",92.201263,34.738945,26.620342,17.155052,18.297955,17.696005,21.784365,14.963973,22.636557,24.116682
"22",91.131264,34.393341,26.588404,16.91823,18.171877,17.465479,21.462704,14.957568,22.444248,23.922731
"23",90.678848,34.078613,26.460646,16.799805,18.097383,17.377655,21.27107,14.861607,22.394377,23.877987
"24",90.915855,34.74511,26.452656,16.752424,18.148956,17.481947,21.654325,14.829624,22.472733,23.661669
"25",90.111511,33.294819,26.292976,16.705061,18.028605,17.377655,21.086277,14.759246,22.30891,23.624361
"26",90.930206,33.301018,26.476614,17.028744,18.143227,17.372164,21.120497,14.823219,22.415741,23.930187
"27",90.779373,32.541924,26.468636,16.949795,18.189081,17.432549,21.188932,14.868004,22.543962,23.952576
"28",90.944557,32.424675,26.564455,17.084013,18.292221,17.443523,21.147871,14.848813,22.693542,23.900364
"29",90.779373,32.295067,26.500572,16.926121,18.223457,17.421566,20.935713,14.829624,22.722038,23.870527
"30",91.741684,31.93095,26.796005,17.155052,18.441217,17.4051,21.496908,15.015152,22.992702,24.101765
"31",92.064835,31.758162,26.915768,17.249802,18.550102,17.432549,21.401102,15.111112,23.056807,24.2435
"32",92.754242,32.486374,27.003601,17.40769,18.658983,17.569761,21.681705,15.18149,23.120914,24.400146
"33",92.502914,32.714729,26.84391,17.312956,18.58449,17.728935,21.661175,15.117521,23.177902,24.385229
"34",92.273125,33.356541,26.700184,17.123486,18.527184,17.756384,21.668015,15.098318,23.085302,24.258417
"35",92.833229,32.733234,26.899797,17.210323,18.876751,17.82225,21.756987,15.219871,23.32748,24.467285
"36",92.696808,32.696194,26.756075,17.123486,18.80798,17.800295,21.647484,15.226268,23.249125,24.377768
"37",92.933792,33.097347,26.708168,17.131378,18.848099,17.855185,21.70908,15.149494,23.263384,24.377768
"38",92.969696,32.523407,26.94771,17.289274,18.882484,17.997902,21.531128,15.258259,23.412954,24.564253
"39",92.086403,32.301243,26.724142,17.091902,18.6991,17.877138,21.257374,15.053536,23.14229,24.2435
"40",92.90506,32.850491,26.923758,17.43137,18.79652,17.827738,21.585888,15.111112,23.32748,24.265877
"41",92.897881,33.39975,26.748095,17.470848,18.68191,17.816757,21.715916,15.027947,23.263384,24.221123
"42",92.467003,33.405926,26.732126,17.36821,18.636065,17.728935,21.722769,15.066324,23.320354,24.139071
"43",92.043312,32.245689,26.564455,17.297169,18.578758,17.443523,21.428471,15.015152,23.199265,24.012247
"44",91.899643,31.770489,26.444681,17.18664,18.641798,17.361191,21.223156,15.117521,23.213512,24.019716
"45",92.093582,31.770489,26.492584,17.170853,18.653254,17.344728,21.093121,15.283851,23.185022,24.183819
"46",91.475975,31.542141,26.388788,17.068214,18.538637,17.295324,21.052052,15.309438,23.156525,24.101765
"47",92.344887,31.714952,26.636309,17.147163,18.704826,17.4051,21.428471,15.45018,23.398712,24.191294
"48",92.517288,32.338264,26.628323,17.210323,18.710562,17.427055,21.476379,15.462988,23.384462,24.176363
"49",93.486786,32.93689,26.915768,17.40769,18.928326,17.613676,21.873337,15.424591,23.605268,24.347935
"50",93.903259,33.109692,27.067476,17.510317,18.951246,17.728935,22.1334,15.367017,23.96142,24.429995
"51",94.097176,33.634274,27.123363,17.399792,19.014282,17.82225,22.167622,15.418202,23.975664,24.429995
"52",94.175728,33.20779,27.168886,17.455059,19.070171,17.779114,22.138739,15.40919,24.158693,24.487616
"53",94.024345,32.471226,27.105005,17.486641,19.081699,17.519207,22.090599,15.499235,24.115797,24.53252
"54",93.433113,32.415504,26.953262,17.415579,18.891569,17.386486,21.767359,15.396337,24.022842,24.382849
"55",94.002716,32.632137,27.041111,17.423477,19.04137,17.469433,21.994307,15.537819,24.20159,24.62981
"56",93.808052,33.114948,27.025129,17.383999,18.949188,17.447309,22.056206,15.422059,24.101501,24.495096
"57",93.880173,33.337791,26.985201,17.439274,18.943422,17.414131,22.042446,15.422059,24.080044,24.457676
"58",93.743149,33.511089,26.977213,17.462957,18.931892,17.298,22.19376,15.370605,24.101501,24.27059
"59",93.166374,33.771065,26.833469,17.265585,18.77634,17.226109,22.008068,15.248417,23.929903,24.046059
"60",93.750381,34.167191,27.073055,17.526114,18.862761,17.331181,22.37945,15.357748,24.172997,24.113411
"61",93.584518,34.148628,26.961248,17.581377,18.74753,17.17634,22.461977,15.235557,24.172997,24.06851
"62",93.606171,33.67202,26.881388,17.478735,18.753298,17.04915,22.248781,15.17767,24.165842,23.9338
"63",93.534065,33.857719,26.785547,17.581377,18.78211,17.071278,22.52388,15.229116,24.251638,23.918829
"64",94.1325,34.303379,26.937286,17.644526,18.983747,17.253765,22.558271,15.216263,24.416094,23.948772
"65",94.456924,34.866638,27.112978,17.794535,19.018318,17.419659,22.867762,15.248417,24.430382,23.873928
"66",94.356026,34.940914,27.168886,17.778738,18.949188,17.203993,22.915894,15.190531,24.394638,23.694313
"67",93.397057,34.260048,27.049091,17.573473,18.770582,16.960667,22.565147,15.05548,24.273094,23.409925
"68",93.541313,34.909962,27.009163,17.549793,18.805141,16.955139,22.558271,15.074774,24.187296,23.365015
"69",92.748177,34.662384,26.793543,17.391901,18.643827,16.761585,22.393206,14.93329,24.14439,23.110554
"70",92.921211,34.433353,26.769581,17.423477,18.684158,16.800301,22.544516,14.984736,24.308849,23.267729
"71",92.798676,34.544777,26.833469,17.447163,18.712971,16.722883,22.66143,14.959012,24.208742,23.21534
"72",92.762611,35.182301,26.697704,17.257689,18.695677,16.706291,22.860884,14.875404,24.087194,23.08062
"73",94.233444,36.042683,27.089022,17.605057,19.04137,17.027033,23.48674,15.016891,24.666323,23.297659
"74",94.413673,36.599751,26.993185,17.58926,19.064409,17.082335,23.644915,15.03618,24.823614,23.162951
"75",94.543465,36.222176,27.097008,17.605057,19.104738,17.203993,23.424833,15.061906,24.91655,23.372499
"76",94.557877,36.977329,26.889366,17.415579,19.081699,17.281414,23.658669,15.061906,24.945156,23.320118
"77",94.384811,36.414059,26.881388,17.391901,19.08745,17.44179,23.576138,15.126216,25.030943,23.230307
"78",93.995491,35.943642,26.841457,17.383999,18.972223,17.192926,23.411079,15.126216,24.737822,23.088106
"79",94.017143,35.374187,27.025129,17.447163,19.081699,17.021502,23.4042,15.267708,24.873672,23.088106
"80",94.471336,34.971851,27.240767,17.620846,19.381283,17.248236,22.936527,15.28701,24.737822,22.960878
"81",94.788582,35.367992,27.224779,17.249802,19.565653,17.320126,23.03969,15.32559,24.687775,23.192886
"82",94.017143,35.949837,27.073055,17.107689,19.260286,17.15975,23.191002,15.319155,24.752115,22.990822
"83",94.723717,36.748302,27.097008,17.18664,19.381283,17.436255,23.417955,15.40919,24.952311,22.990822
"84",94.370415,36.178856,27.168886,17.147163,19.363998,17.380953,23.424833,15.306292,24.959455,22.736361
"85",94.709267,36.01173,27.320627,17.210323,19.404331,17.403069,23.658669,15.332024,25.259741,22.811205
"86",95.545662,36.432621,27.640072,17.305048,19.680878,17.795702,23.823721,15.473505,25.509987,23.035723
"87",95.430275,36.271706,27.679998,17.328741,19.600214,17.657455,23.913137,15.557113,25.488531,23.028236
"88",95.617722,36.488342,27.759855,17.257689,19.634789,17.508144,24.071323,15.602132,25.488531,22.863592
"89",95.567245,36.828773,27.775831,17.076115,19.646309,17.646399,24.078196,15.537819,25.502821,22.841141
"90",94.413673,36.352158,27.496307,16.720852,19.323677,17.480497,23.748081,15.344888,25.37413,22.796225
"91",93.180801,35.120426,27.224779,16.56296,19.127787,17.286943,23.239138,15.222689,24.973757,22.743849
"92",93.368279,34.383823,27.296669,16.578749,19.260286,17.397547,22.936527,15.389898,24.980909,23.065657
"93",93.231262,34.507618,27.105005,16.420862,19.237257,17.320126,22.943407,15.447783,24.973757,23.125523
"94",91.457634,33.628689,26.729649,16.199808,18.85124,17.054682,22.324429,15.254836,24.458981,22.88604
"95",90.996193,33.220173,26.713682,16.144548,18.684158,17.04915,22.090599,15.17767,24.258799,22.788752
"96",91.637878,33.436817,26.89736,16.262966,18.78211,17.192926,22.180008,15.190531,24.337437,22.661522
