"","SPY","XLE","XLY","XLK","XLF","XLU","XLB","XLP","XLI","XLV"
"1",88.454193,38.477592,25.304157,19.192499,9.432527,19.625517,25.599789,18.808453,21.969957,25.311983
"2",88.688339,38.791626,25.396933,19.167755,9.6059,19.391876,25.68256,18.8155,22.047539,25.06374
"3",88.750793,39.256168,25.430672,18.95331,9.625161,19.505541,26.119017,18.801399,22.094088,25.319984
"4",89.125443,39.197289,25.641539,18.879091,9.830633,19.417135,25.915838,18.801399,22.334572,25.408068
"5",89.422005,39.452435,25.633101,19.002806,9.772843,19.398191,26.277031,18.737932,22.691427,25.448111
"6",89.546883,39.400112,25.582493,18.928577,9.779267,19.600256,26.134058,18.787292,22.939676,25.592247
"7",88.711761,38.830891,25.253542,18.722378,9.638002,19.518166,25.637417,18.893074,22.753496,25.408068
"8",89.46106,38.974842,25.540319,18.903833,9.747161,19.732855,25.938417,19.027073,22.846588,25.744387
"9",89.70298,39.086071,25.540319,18.95331,9.792107,19.644461,25.62236,18.970652,22.846588,25.976608
"10",88.696144,38.772003,25.287281,18.689384,9.593053,19.518166,25.434238,18.878973,22.551785,25.800449
"11",89.804474,39.125313,25.624668,19.011051,9.715056,19.745483,25.840591,18.991808,22.800049,26.425037
"12",88.891258,38.51685,25.278837,18.705885,9.68937,19.537113,25.381563,18.850763,22.450941,26.200827
"13",87.181976,37.731716,24.958323,18.507933,9.413264,19.252956,24.282927,18.582775,21.931171,25.63228
"14",85.238518,36.835381,24.477552,17.864611,9.105059,18.829885,23.801336,18.540462,21.597591,25.352015
"15",85.675636,37.077446,24.604065,18.013071,9.156423,18.956171,24.012032,18.575722,21.737234,25.352015
"16",85.316589,36.841927,24.637808,17.963589,8.9959,19.03195,23.67341,18.554567,21.644131,25.207884
"17",85.72245,36.697968,24.679985,18.112047,9.214212,18.905659,23.470236,18.596882,21.706194,25.38405
"18",84.739014,36.311947,24.536592,17.592434,9.169268,18.760422,23.048838,18.547518,21.457951,25.223898
"19",83.818031,35.657696,24.384762,17.287268,9.105059,18.646763,22.680122,18.476992,21.240726,25.047729
"20",85.121452,36.835381,24.696846,17.485214,9.259161,18.766735,23.583107,18.618038,21.558798,25.191868
"21",86.151718,37.319538,25.042675,17.658413,9.349053,18.918287,23.658365,18.886021,21.969957,25.712362
"22",85.72245,36.99894,25.059542,17.699657,9.246319,18.785683,23.387459,18.752031,21.838076,25.368034
"23",83.076553,35.481041,24.334158,17.204796,8.848213,18.293154,22.514574,18.371201,21.194181,24.727425
"24",83.248238,35.487583,24.266684,17.377987,8.950951,18.26158,22.93597,18.321836,21.101095,24.687386
"25",82.647293,35.160446,24.114853,17.303768,8.77116,18.053202,22.567244,18.300688,20.868357,24.56727
"26",83.685333,35.899792,24.485981,17.452227,8.861052,18.236313,23.116566,18.519308,21.271767,24.759457
"27",83.521446,35.749294,24.384762,17.40274,8.931687,18.154226,22.958542,18.498156,21.240726,24.607313
"28",84.395569,36.357758,24.671541,17.584188,8.950951,18.26158,23.349834,18.646248,21.558798,24.775471
"29",84.325333,36.370846,24.671541,17.61718,8.95737,18.192123,23.304686,18.646248,21.38813,24.719429
"30",85.652214,37.22794,25.067982,17.881105,9.14358,18.507845,23.891634,18.836658,21.892382,24.935629
"31",86.058037,37.175591,25.270412,17.93059,9.175685,18.43207,23.906681,18.970652,22.078571,25.127806
"32",86.565376,37.38496,25.430672,18.046055,9.233477,18.533102,24.162529,19.08349,22.280273,25.247917
"33",86.744934,37.528896,25.48971,17.99658,9.284844,18.791994,24.297976,19.125803,22.388882,25.247917
"34",86.760513,37.012039,25.481277,17.963589,9.406842,18.690964,24.192629,19.125803,22.404388,25.175858
"35",85.706841,36.397022,25.329458,17.740896,9.233477,18.564676,23.808857,19.020018,22.117357,24.935629
"36",86.49514,36.626007,25.658403,17.914099,9.394005,18.583618,23.748657,19.139902,22.342333,25.119797
"37",86.378036,36.645626,25.700577,17.864611,9.368316,18.545729,23.695984,19.154005,22.288023,25.135809
"38",86.432709,36.730675,25.742758,17.889355,9.426107,18.400501,23.703503,19.062334,22.373367,25.143816
"39",87.330269,37.070915,26.147621,18.120295,9.451794,18.66571,24.064697,19.196327,22.668148,25.38405
"40",87.572212,37.378426,26.012665,18.095552,9.483895,18.72254,24.267879,19.26685,22.706947,25.47213
"41",87.650276,37.541992,26.088583,18.103798,9.490318,18.690964,24.478573,19.273903,22.737976,25.368034
"42",87.915649,37.345695,26.324753,18.178032,9.586631,18.728853,24.644121,19.337372,22.846588,25.287954
"43",89.172256,38.045776,26.813961,18.400715,9.772843,18.918287,24.960171,19.457256,23.195683,25.640291
"44",89.187866,37.986897,26.881443,18.499687,9.792107,18.918287,24.960171,19.386738,23.087074,25.488152
"45",89.336159,37.986897,26.839268,18.58217,9.824215,18.893028,24.802153,19.358532,23.273264,25.47213
"46",89.7342,38.320564,26.898306,18.705885,9.933372,18.899342,24.809671,19.33032,23.319801,25.488152
"47",90.108856,38.255146,27.092314,18.780115,10.016846,18.962496,24.952642,19.365583,23.405142,25.688337
"48",90.116661,38.274776,27.168226,18.763618,9.978319,18.842514,25.05048,19.379686,23.560301,25.496153
"49",90.140083,37.882202,27.134489,18.747118,9.978319,18.911974,25.042948,19.527786,23.560301,25.664316
"50",90.858139,38.222424,27.336918,18.887331,10.100315,19.132978,25.411663,19.619465,23.878365,25.73638
"51",91.39669,38.641159,27.471869,18.945065,10.222321,19.196127,25.554638,19.704088,23.917158,25.744387
"52",91.349869,38.065407,27.463438,18.969807,10.16453,19.107727,25.374035,19.725245,24.080069,25.920555
"53",90.887474,37.607773,27.380621,18.856459,10.097598,19.086702,25.097275,19.667175,23.983538,25.910921
"54",91.373352,37.5093,27.667952,18.99711,10.149087,18.959278,25.466805,19.766319,24.053606,26.079632
"55",92.016037,37.653736,27.7778,19.179148,10.232748,19.035732,25.798609,19.922131,24.326061,26.208185
"56",91.569305,37.437073,27.667952,19.088131,10.239184,18.838243,25.723204,19.780493,24.154799,25.926981
"57",91.420395,36.806789,27.828508,19.121223,10.284233,18.717197,25.210394,19.752161,24.139227,25.822536
"58",91.365524,36.819916,27.938374,19.030212,10.297106,18.761789,25.398924,19.766319,24.201506,25.629713
"59",91.94548,37.535557,27.980625,19.088131,10.309978,18.991138,25.67041,19.858393,24.419466,25.902878
"60",92.008186,37.594643,27.955273,19.170874,10.245619,18.940168,25.70812,19.893801,24.458387,25.902878
"61",91.694687,37.765354,27.752451,19.112955,10.264926,18.895576,25.57991,19.780493,24.31827,25.814507
"62",92.321648,38.435051,27.946821,19.079855,10.34859,19.156776,26.024849,19.907969,24.473957,25.959124
"63",93.074036,39.117874,28.284853,19.303249,10.451562,19.271446,26.341579,19.907969,24.652998,25.886808
"64",93.293472,39.117874,28.327106,19.319798,10.560968,19.430716,26.386829,19.844227,24.660776,25.870743
"65",92.760536,38.730492,28.225698,19.245338,10.522354,19.239599,26.220924,19.716757,24.520657,25.758266
"66",93.081856,38.868389,28.496138,19.278431,10.606021,19.124918,26.281256,19.752161,24.598505,25.661854
"67",93.693169,39.282013,28.707399,19.427361,10.644632,19.265074,26.326506,19.858393,24.738632,25.774336
"68",93.842079,39.373928,28.707399,19.468733,10.68968,19.316046,26.243551,19.922131,24.793112,25.702021
"69",93.912605,39.236042,28.859514,19.526655,10.696121,19.214113,26.145512,19.858393,24.832035,25.726124
"70",94.978447,39.610298,29.307402,19.80797,10.97285,19.233231,26.341579,19.886717,25.151199,25.637747
"71",95.056854,39.603718,29.43417,19.898981,10.927803,19.226858,26.341579,19.851315,25.392506,25.565441
"72",93.544281,38.934017,29.045437,19.634214,10.52879,19.003878,25.889101,19.766319,24.97994,25.412792
"73",93.896942,38.986561,29.09613,19.675583,10.631761,19.022997,25.896648,19.844227,24.933231,25.621681
